TYPE;Geom;Geo Local Area;geo_point_2d
Semi Actuated;"{""coordinates"": [-123.08953070729486, 49.2811485662927], ""type"": ""Point""}";Strathcona;49.2811485662927, -123.08953070729486
Semi Actuated;"{""coordinates"": [-123.12059994726623, 49.26589973353714], ""type"": ""Point""}";Fairview;49.26589973353714, -123.12059994726623
Pedestrian Actuated Signal;"{""coordinates"": [-123.12823715069621, 49.28903402562896], ""type"": ""Point""}";Downtown;49.28903402562896, -123.12823715069621
Semi Actuated;"{""coordinates"": [-123.11476944647077, 49.26666619851049], ""type"": ""Point""}";Fairview;49.26666619851049, -123.11476944647077
Pedestrian Actuated Signal;"{""coordinates"": [-123.12740598620438, 49.28958425286251], ""type"": ""Point""}";Downtown;49.28958425286251, -123.12740598620438
Fully Actuated;"{""coordinates"": [-123.11496762208057, 49.26039208783325], ""type"": ""Point""}";Fairview;49.26039208783325, -123.11496762208057
Semi Actuated;"{""coordinates"": [-123.02378417188697, 49.2445072624127], ""type"": ""Point""}";Renfrew-Collingwood;49.2445072624127, -123.02378417188697
Semi Actuated;"{""coordinates"": [-123.13335929648342, 49.281783164573376], ""type"": ""Point""}";West End;49.281783164573376, -123.13335929648342
Semi Actuated;"{""coordinates"": [-123.05661029353121, 49.25776977791532], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25776977791532, -123.05661029353121
Fixed Time;"{""coordinates"": [-123.11952591787794, 49.27699992990449], ""type"": ""Point""}";Downtown;49.27699992990449, -123.11952591787794
Semi Actuated;"{""coordinates"": [-123.03139685261148, 49.28369743646748], ""type"": ""Point""}";Hastings-Sunrise;49.28369743646748, -123.03139685261148
Pedestrian Actuated Signal;"{""coordinates"": [-123.12685915733769, 49.28814229047145], ""type"": ""Point""}";Downtown;49.28814229047145, -123.12685915733769
Pedestrian Actuated Signal;"{""coordinates"": [-123.05167155594052, 49.232792735171856], ""type"": ""Point""}";Renfrew-Collingwood;49.232792735171856, -123.05167155594052
Semi Actuated;"{""coordinates"": [-123.07242331360001, 49.248524088045784], ""type"": ""Point""}";Kensington-Cedar Cottage;49.248524088045784, -123.07242331360001
