TYPE;Geom;Geo Local Area;geo_point_2d
Pedestrian Actuated Signal;"{""coordinates"": [-123.09060449185189, 49.23098974180341], ""type"": ""Point""}";Sunset;49.23098974180341, -123.09060449185189
Semi Actuated;"{""coordinates"": [-123.11476137537481, 49.264857469100576], ""type"": ""Point""}";Fairview;49.264857469100576, -123.11476137537481
Fixed Time;"{""coordinates"": [-123.10661675482964, 49.2702235413041], ""type"": ""Point""}";Mount Pleasant;49.2702235413041, -123.10661675482964
Fixed Time;"{""coordinates"": [-123.09721105221821, 49.27943501219243], ""type"": ""Point""}";Strathcona;49.27943501219243, -123.09721105221821
Pedestrian Actuated Signal;"{""coordinates"": [-123.06170140497193, 49.28117427953769], ""type"": ""Point""}";Grandview-Woodland;49.28117427953769, -123.06170140497193
Fixed Time;"{""coordinates"": [-123.12619855223618, 49.27715052055699], ""type"": ""Point""}";Downtown;49.27715052055699, -123.12619855223618
Pedestrian Actuated Signal;"{""coordinates"": [-123.14322918757905, 49.2679768051649], ""type"": ""Point""}";Fairview;49.2679768051649, -123.14322918757905
Pedestrian Actuated Signal;"{""coordinates"": [-123.06582128080595, 49.266856065074386], ""type"": ""Point""}";Grandview-Woodland;49.266856065074386, -123.06582128080595
Semi Actuated;"{""coordinates"": [-123.091683431123, 49.27661287503819], ""type"": ""Point""}";Strathcona;49.27661287503819, -123.091683431123
Fixed Time;"{""coordinates"": [-123.11289971408726, 49.26318203016747], ""type"": ""Point""}";Mount Pleasant;49.26318203016747, -123.11289971408726
Pedestrian Actuated Signal;"{""coordinates"": [-123.08913461370165, 49.2615251209111], ""type"": ""Point""}";Mount Pleasant;49.2615251209111, -123.08913461370165
Semi Actuated;"{""coordinates"": [-123.09952678359853, 49.28409352310958], ""type"": ""Point""}";Downtown;49.28409352310958, -123.09952678359853
Pedestrian Actuated Signal;"{""coordinates"": [-123.13077531042522, 49.27802519644653], ""type"": ""Point""}";West End;49.27802519644653, -123.13077531042522
Pedestrian Actuated Signal;"{""coordinates"": [-123.03374795395864, 49.265675681975644], ""type"": ""Point""}";Hastings-Sunrise;49.265675681975644, -123.03374795395864
Fixed Time;"{""coordinates"": [-123.09760686860727, 49.28224748887804], ""type"": ""Point""}";Strathcona;49.28224748887804, -123.09760686860727
Fixed Time;"{""coordinates"": [-123.12423609224066, 49.275879954246165], ""type"": ""Point""}";Downtown;49.275879954246165, -123.12423609224066
Bus Actuated Signal;"{""coordinates"": [-123.13029861847403, 49.20691428638043], ""type"": ""Point""}";Marpole;49.20691428638043, -123.13029861847403
Pedestrian Actuated Signal;"{""coordinates"": [-123.15513545862537, 49.26816856503363], ""type"": ""Point""}";Kitsilano;49.26816856503363, -123.15513545862537
Pedestrian Actuated Signal;"{""coordinates"": [-123.10135843406114, 49.24328539643664], ""type"": ""Point""}";Riley Park;49.24328539643664, -123.10135843406114
Pedestrian Actuated Signal;"{""coordinates"": [-123.16451862353827, 49.2683168516148], ""type"": ""Point""}";Kitsilano;49.2683168516148, -123.16451862353827
Pedestrian Actuated Signal;"{""coordinates"": [-123.18782204113252, 49.263507968929126], ""type"": ""Point""}";West Point Grey;49.263507968929126, -123.18782204113252
Pedestrian Actuated Signal;"{""coordinates"": [-123.16240293636739, 49.263979433389785], ""type"": ""Point""}";Kitsilano;49.263979433389785, -123.16240293636739
Semi Actuated;"{""coordinates"": [-123.04429538048028, 49.25919258514131], ""type"": ""Point""}";Renfrew-Collingwood;49.25919258514131, -123.04429538048028
Fixed Time;"{""coordinates"": [-123.13119696849375, 49.280384055953725], ""type"": ""Point""}";West End;49.280384055953725, -123.13119696849375
Pedestrian Actuated Signal;"{""coordinates"": [-123.06975104626126, 49.26292847800766], ""type"": ""Point""}";Grandview-Woodland;49.26292847800766, -123.06975104626126
Pedestrian Actuated Signal;"{""coordinates"": [-123.11513585243866, 49.255881332748665], ""type"": ""Point""}";South Cambie;49.255881332748665, -123.11513585243866
Pedestrian Actuated Signal;"{""coordinates"": [-123.0953413445571, 49.282206347430304], ""type"": ""Point""}";Strathcona;49.282206347430304, -123.0953413445571
Pedestrian Actuated Signal;"{""coordinates"": [-123.08389127924531, 49.24856938380058], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24856938380058, -123.08389127924531
Semi Actuated;"{""coordinates"": [-123.18543419769519, 49.230646739980145], ""type"": ""Point""}";Dunbar-Southlands;49.230646739980145, -123.18543419769519
Pedestrian Actuated Signal;"{""coordinates"": [-123.08717781373679, 49.262458202634754], ""type"": ""Point""}";Mount Pleasant;49.262458202634754, -123.08717781373679
Pedestrian Actuated Signal;"{""coordinates"": [-123.03895709091056, 49.26947828310608], ""type"": ""Point""}";Hastings-Sunrise;49.26947828310608, -123.03895709091056
Semi Actuated;"{""coordinates"": [-123.12182258522606, 49.263330247885634], ""type"": ""Point""}";Fairview;49.263330247885634, -123.12182258522606
Pedestrian Actuated Signal;"{""coordinates"": [-123.104895764207, 49.26300556800123], ""type"": ""Point""}";Mount Pleasant;49.26300556800123, -123.104895764207
Pedestrian Actuated Signal;"{""coordinates"": [-123.11290393134328, 49.26757872859943], ""type"": ""Point""}";Mount Pleasant;49.26757872859943, -123.11290393134328
Pedestrian Actuated Signal;"{""coordinates"": [-123.18761802823701, 49.26865529483077], ""type"": ""Point""}";West Point Grey;49.26865529483077, -123.18761802823701
Fixed Time;"{""coordinates"": [-123.11324504785219, 49.27933838349993], ""type"": ""Point""}";Downtown;49.27933838349993, -123.11324504785219
Fully Actuated;"{""coordinates"": [-123.03375756434897, 49.26189134301697], ""type"": ""Point""}";Hastings-Sunrise;49.26189134301697, -123.03375756434897
Pedestrian Actuated Signal;"{""coordinates"": [-123.03662564354553, 49.22470922912859], ""type"": ""Point""}";Killarney;49.22470922912859, -123.03662564354553
Pedestrian Actuated Signal;"{""coordinates"": [-123.08179499743795, 49.25295369348139], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25295369348139, -123.08179499743795
Fixed Time;"{""coordinates"": [-123.11583799343677, 49.28530049716549], ""type"": ""Point""}";Downtown;49.28530049716549, -123.11583799343677
Fully Actuated;"{""coordinates"": [-123.13024569211605, 49.20847130563454], ""type"": ""Point""}";Marpole;49.20847130563454, -123.13024569211605
Pedestrian Actuated Signal;"{""coordinates"": [-123.16477331123119, 49.26118886626401], ""type"": ""Point""}";Kitsilano;49.26118886626401, -123.16477331123119
Semi Actuated;"{""coordinates"": [-123.10767644058166, 49.27711991764233], ""type"": ""Point""}";Downtown;49.27711991764233, -123.10767644058166
Pedestrian Actuated Signal;"{""coordinates"": [-123.0616354122643, 49.28481887146963], ""type"": ""Point""}";Grandview-Woodland;49.28481887146963, -123.0616354122643
Fully Actuated;"{""coordinates"": [-123.09055769579487, 49.23289151031384], ""type"": ""Point""}";Riley Park;49.23289151031384, -123.09055769579487
Fixed Time;"{""coordinates"": [-123.113856072791, 49.284017344527086], ""type"": ""Point""}";Downtown;49.284017344527086, -123.113856072791
Pedestrian Actuated Signal;"{""coordinates"": [-123.14095395144713, 49.265386493073215], ""type"": ""Point""}";Fairview;49.265386493073215, -123.14095395144713
Fixed Time;"{""coordinates"": [-123.11485723786093, 49.285949920121574], ""type"": ""Point""}";Downtown;49.285949920121574, -123.11485723786093
Fixed Time;"{""coordinates"": [-123.1010749743718, 49.260201056187746], ""type"": ""Point""}";Mount Pleasant;49.260201056187746, -123.1010749743718
Semi Actuated;"{""coordinates"": [-123.14053768775929, 49.20516510127621], ""type"": ""Point""}";Marpole;49.20516510127621, -123.14053768775929
Pedestrian Actuated Signal;"{""coordinates"": [-123.04407985658638, 49.27908103570195], ""type"": ""Point""}";Hastings-Sunrise;49.27908103570195, -123.04407985658638
Pedestrian Actuated Signal;"{""coordinates"": [-123.1065506457269, 49.2123159111394], ""type"": ""Point""}";Marpole;49.2123159111394, -123.1065506457269
Fixed Time;"{""coordinates"": [-123.11654524588734, 49.27715596483292], ""type"": ""Point""}";Downtown;49.27715596483292, -123.11654524588734
Pedestrian Actuated Signal;"{""coordinates"": [-123.11766504521853, 49.27437890610385], ""type"": ""Point""}";Downtown;49.27437890610385, -123.11766504521853
Pedestrian Actuated Signal;"{""coordinates"": [-123.08735797820631, 49.27653663675878], ""type"": ""Point""}";Strathcona;49.27653663675878, -123.08735797820631
Fixed Time;"{""coordinates"": [-123.11421616157195, 49.27996723428989], ""type"": ""Point""}";Downtown;49.27996723428989, -123.11421616157195
Pedestrian Actuated Signal;"{""coordinates"": [-123.09018823229042, 49.24659789560164], ""type"": ""Point""}";Riley Park;49.24659789560164, -123.09018823229042
Fixed Time;"{""coordinates"": [-123.09956713553701, 49.28318945533365], ""type"": ""Point""}";Downtown;49.28318945533365, -123.09956713553701
Fixed Time;"{""coordinates"": [-123.10229713578302, 49.28043456448185], ""type"": ""Point""}";Downtown;49.28043456448185, -123.10229713578302
Pedestrian Actuated Signal;"{""coordinates"": [-123.1738209340501, 49.26843704451874], ""type"": ""Point""}";Kitsilano;49.26843704451874, -123.1738209340501
Fixed Time;"{""coordinates"": [-123.10434544245074, 49.28147314232797], ""type"": ""Point""}";Downtown;49.28147314232797, -123.10434544245074
Semi Actuated;"{""coordinates"": [-123.16820753606825, 49.27142163946614], ""type"": ""Point""}";Kitsilano;49.27142163946614, -123.16820753606825
Fixed Time;"{""coordinates"": [-123.10438649191806, 49.28049929619993], ""type"": ""Point""}";Downtown;49.28049929619993, -123.10438649191806
Pedestrian Actuated Signal;"{""coordinates"": [-123.02358471047127, 49.22922843776585], ""type"": ""Point""}";Killarney;49.22922843776585, -123.02358471047127
Pedestrian Actuated Signal;"{""coordinates"": [-123.07441833840286, 49.27671894220804], ""type"": ""Point""}";Grandview-Woodland;49.27671894220804, -123.07441833840286
Pedestrian Actuated Signal;"{""coordinates"": [-123.05032298682917, 49.22478372726103], ""type"": ""Point""}";Victoria-Fraserview;49.22478372726103, -123.05032298682917
Pedestrian Actuated Signal;"{""coordinates"": [-123.06557558365816, 49.23123214498885], ""type"": ""Point""}";Victoria-Fraserview;49.23123214498885, -123.06557558365816
Semi Actuated;"{""coordinates"": [-123.12733676304242, 49.254431804293695], ""type"": ""Point""}";Shaughnessy;49.254431804293695, -123.12733676304242
Pedestrian Actuated Signal;"{""coordinates"": [-123.08259146653026, 49.27683754984665], ""type"": ""Point""}";Strathcona;49.27683754984665, -123.08259146653026
Semi Actuated;"{""coordinates"": [-123.1065725904193, 49.26927404012174], ""type"": ""Point""}";Mount Pleasant;49.26927404012174, -123.1065725904193
Pedestrian Actuated Signal;"{""coordinates"": [-123.07335514493097, 49.24846602064031], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24846602064031, -123.07335514493097
Pedestrian Actuated Signal;"{""coordinates"": [-123.13845974247106, 49.266185053787794], ""type"": ""Point""}";Fairview;49.266185053787794, -123.13845974247106
Semi Actuated;"{""coordinates"": [-123.05660806947405, 49.258468761021824], ""type"": ""Point""}";Kensington-Cedar Cottage;49.258468761021824, -123.05660806947405
Pedestrian Actuated Signal;"{""coordinates"": [-123.14042853694842, 49.2113666528572], ""type"": ""Point""}";Marpole;49.2113666528572, -123.14042853694842
Pedestrian Actuated Signal;"{""coordinates"": [-123.14023745301122, 49.286236170158176], ""type"": ""Point""}";West End;49.286236170158176, -123.14023745301122
Fixed Time;"{""coordinates"": [-123.13812011992879, 49.280689676939794], ""type"": ""Point""}";West End;49.280689676939794, -123.13812011992879
Fully Actuated;"{""coordinates"": [-123.07702523701055, 49.218127224517865], ""type"": ""Point""}";Sunset;49.218127224517865, -123.07702523701055
;"{""coordinates"": [-123.129024318124, 49.29005371400435], ""type"": ""Point""}";Downtown;49.29005371400435, -123.129024318124
Pedestrian Actuated Signal;"{""coordinates"": [-123.05031589086596, 49.23828586808855], ""type"": ""Point""}";Renfrew-Collingwood;49.23828586808855, -123.05031589086596
Fixed Time;"{""coordinates"": [-123.07006497066988, 49.277567588999375], ""type"": ""Point""}";Grandview-Woodland;49.277567588999375, -123.07006497066988
Fixed Time;"{""coordinates"": [-123.08985345404606, 49.256717594595266], ""type"": ""Point""}";Mount Pleasant;49.256717594595266, -123.08985345404606
Fully Actuated;"{""coordinates"": [-123.05871918539759, 49.23977741558519], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23977741558519, -123.05871918539759
Fixed Time;"{""coordinates"": [-123.10217530763772, 49.28323850501388], ""type"": ""Point""}";Downtown;49.28323850501388, -123.10217530763772
Fully Actuated;"{""coordinates"": [-123.02371076019047, 49.25815936347642], ""type"": ""Point""}";Renfrew-Collingwood;49.25815936347642, -123.02371076019047
Semi Actuated;"{""coordinates"": [-123.0837004851349, 49.25384777600953], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25384777600953, -123.0837004851349
Semi Actuated;"{""coordinates"": [-123.04312166915761, 49.22929512786435], ""type"": ""Point""}";Killarney;49.22929512786435, -123.04312166915761
Fixed Time;"{""coordinates"": [-123.12656911753628, 49.279473535273674], ""type"": ""Point""}";Downtown;49.279473535273674, -123.12656911753628
Semi Actuated;"{""coordinates"": [-123.0554717721537, 49.23975637950295], ""type"": ""Point""}";Renfrew-Collingwood;49.23975637950295, -123.0554717721537
Pedestrian Actuated Signal;"{""coordinates"": [-123.14074366425343, 49.28795562029635], ""type"": ""Point""}";West End;49.28795562029635, -123.14074366425343
Pedestrian Actuated Signal;"{""coordinates"": [-123.06180948171162, 49.24356477801911], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24356477801911, -123.06180948171162
Pedestrian Actuated Signal;"{""coordinates"": [-123.13386082823625, 49.290458464137906], ""type"": ""Point""}";West End;49.290458464137906, -123.13386082823625
Pedestrian Actuated Signal;"{""coordinates"": [-123.03781167420485, 49.235046358012575], ""type"": ""Point""}";Renfrew-Collingwood;49.235046358012575, -123.03781167420485
Pedestrian Actuated Signal;"{""coordinates"": [-123.0653571557151, 49.239225357063894], ""type"": ""Point""}";Kensington-Cedar Cottage;49.239225357063894, -123.0653571557151
Fully Actuated;"{""coordinates"": [-123.16622838242333, 49.27221136751284], ""type"": ""Point""}";Kitsilano;49.27221136751284, -123.16622838242333
Pedestrian Actuated Signal;"{""coordinates"": [-123.08124529003365, 49.28278957116993], ""type"": ""Point""}";Strathcona;49.28278957116993, -123.08124529003365
Fixed Time;"{""coordinates"": [-123.10270081517022, 49.26920398367508], ""type"": ""Point""}";Mount Pleasant;49.26920398367508, -123.10270081517022
Pedestrian Actuated Signal;"{""coordinates"": [-123.10130560085389, 49.24447753651324], ""type"": ""Point""}";Riley Park;49.24447753651324, -123.10130560085389
Pedestrian Actuated Signal;"{""coordinates"": [-123.05663976641877, 49.24880462298422], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24880462298422, -123.05663976641877
FH;"{""coordinates"": [-123.08776659101433, 49.24861457531404], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24861457531404, -123.08776659101433
RRFB;"{""coordinates"": [-123.06572103346913, 49.271263660258285], ""type"": ""Point""}";Grandview-Woodland;49.271263660258285, -123.06572103346913
Pedestrian Actuated Signal;"{""coordinates"": [-123.20606102870836, 49.26378095424741], ""type"": ""Point""}";West Point Grey;49.26378095424741, -123.20606102870836
RRFB;"{""coordinates"": [-123.05469391562336, 49.22676952277447], ""type"": ""Point""}";Victoria-Fraserview;49.22676952277447, -123.05469391562336
Pedestrian Actuated Signal;"{""coordinates"": [-123.20909961763499, 49.2638291695407], ""type"": ""Point""}";West Point Grey;49.2638291695407, -123.20909961763499
Pedestrian Actuated Signal;"{""coordinates"": [-123.0628793309051, 49.23980119544068], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23980119544068, -123.0628793309051
Semi Actuated;"{""coordinates"": [-123.130264373473, 49.278391904564934], ""type"": ""Point""}";West End;49.278391904564934, -123.130264373473
Semi Actuated;"{""coordinates"": [-123.13133991288461, 49.276337724827684], ""type"": ""Point""}";Downtown;49.276337724827684, -123.13133991288461
Pedestrian Actuated Signal;"{""coordinates"": [-123.15234654889701, 49.263804915170645], ""type"": ""Point""}";Kitsilano;49.263804915170645, -123.15234654889701
Pedestrian Actuated Signal;"{""coordinates"": [-123.15247119506876, 49.26098407768491], ""type"": ""Point""}";Kitsilano;49.26098407768491, -123.15247119506876
Pedestrian Actuated Signal;"{""coordinates"": [-123.1684498512761, 49.264973714385945], ""type"": ""Point""}";Kitsilano;49.264973714385945, -123.1684498512761
RRFB;"{""coordinates"": [-123.04247976726028, 49.22473842926496], ""type"": ""Point""}";Killarney;49.22473842926496, -123.04247976726028
Fixed Time;"{""coordinates"": [-123.03170264023746, 49.23844214729461], ""type"": ""Point""}";Renfrew-Collingwood;49.23844214729461, -123.03170264023746
Semi Actuated;"{""coordinates"": [-123.10227439177659, 49.27122397219608], ""type"": ""Point""}";Mount Pleasant;49.27122397219608, -123.10227439177659
Pedestrian Actuated Signal;"{""coordinates"": [-123.11676169178975, 49.23907443145791], ""type"": ""Point""}";Riley Park;49.23907443145791, -123.11676169178975
Bus Actuated Signal;"{""coordinates"": [-123.11512977775887, 49.20963561926967], ""type"": ""Point""}";Marpole;49.20963561926967, -123.11512977775887
RRFB;"{""coordinates"": [-123.14912494635658, 49.217150578714374], ""type"": ""Point""}";Kerrisdale;49.217150578714374, -123.14912494635658
RRFB;"{""coordinates"": [-123.10710521824505, 49.2567269969636], ""type"": ""Point""}";Mount Pleasant;49.2567269969636, -123.10710521824505
RRFB;"{""coordinates"": [-123.16737909197259, 49.234763087644644], ""type"": ""Point""}";Arbutus Ridge;49.234763087644644, -123.16737909197259
Pedestrian Actuated Signal;"{""coordinates"": [-123.07714342180294, 49.279468574364074], ""type"": ""Point""}";Grandview-Woodland;49.279468574364074, -123.07714342180294
RRFB;"{""coordinates"": [-123.04682727884307, 49.23973295129565], ""type"": ""Point""}";Renfrew-Collingwood;49.23973295129565, -123.04682727884307
Pedestrian Actuated Signal;"{""coordinates"": [-123.1937222367769, 49.23475852657881], ""type"": ""Point""}";Dunbar-Southlands;49.23475852657881, -123.1937222367769
Semi Actuated;"{""coordinates"": [-123.15319675579629, 49.24912123584894], ""type"": ""Point""}";Arbutus Ridge;49.24912123584894, -123.15319675579629
RRFB;"{""coordinates"": [-123.0565685660929, 49.282076774757655], ""type"": ""Point""}";Grandview-Woodland;49.282076774757655, -123.0565685660929
RRFB;"{""coordinates"": [-123.05486048185776, 49.22117036723753], ""type"": ""Point""}";Victoria-Fraserview;49.22117036723753, -123.05486048185776
RRFB;"{""coordinates"": [-123.16415821953117, 49.23470754915442], ""type"": ""Point""}";Arbutus Ridge;49.23470754915442, -123.16415821953117
Pedestrian Actuated Signal;"{""coordinates"": [-123.08257121517737, 49.232785620891285], ""type"": ""Point""}";Kensington-Cedar Cottage;49.232785620891285, -123.08257121517737
Semi Actuated;"{""coordinates"": [-123.09822602965275, 49.26776740139393], ""type"": ""Point""}";Strathcona;49.26776740139393, -123.09822602965275
RRFB;"{""coordinates"": [-123.18520350653019, 49.24806399812197], ""type"": ""Point""}";Dunbar-Southlands;49.24806399812197, -123.18520350653019
RRFB;"{""coordinates"": [-123.1354294353612, 49.27761617639219], ""type"": ""Point""}";West End;49.27761617639219, -123.1354294353612
Pedestrian Actuated Signal;"{""coordinates"": [-123.10085129511688, 49.265515242103646], ""type"": ""Point""}";Mount Pleasant;49.265515242103646, -123.10085129511688
Pedestrian Actuated Signal;"{""coordinates"": [-123.0559634630623, 49.24086978915433], ""type"": ""Point""}";Renfrew-Collingwood;49.24086978915433, -123.0559634630623
Special Crosswalk;"{""coordinates"": [-123.05745597439996, 49.21291169277042], ""type"": ""Point""}";Victoria-Fraserview;49.21291169277042, -123.05745597439996
Special Crosswalk;"{""coordinates"": [-123.04161576394158, 49.2462475332566], ""type"": ""Point""}";Renfrew-Collingwood;49.2462475332566, -123.04161576394158
RRFB;"{""coordinates"": [-123.0802173762785, 49.24023411186152], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24023411186152, -123.0802173762785
Semi Actuated;"{""coordinates"": [-123.11627620215754, 49.23193089325328], ""type"": ""Point""}";Oakridge;49.23193089325328, -123.11627620215754
Semi Actuated;"{""coordinates"": [-123.04965314608741, 49.2506435016937], ""type"": ""Point""}";Renfrew-Collingwood;49.2506435016937, -123.04965314608741
RRFB;"{""coordinates"": [-123.13892071841443, 49.26684056559334], ""type"": ""Point""}";Fairview;49.26684056559334, -123.13892071841443
RRFB;"{""coordinates"": [-123.13792133034438, 49.268845425881494], ""type"": ""Point""}";Fairview;49.268845425881494, -123.13792133034438
Pedestrian Actuated Signal;"{""coordinates"": [-123.17969206819079, 49.26852322320258], ""type"": ""Point""}";Kitsilano;49.26852322320258, -123.17969206819079
Pedestrian Actuated Signal;"{""coordinates"": [-123.15020423004748, 49.27250191479496], ""type"": ""Point""}";Kitsilano;49.27250191479496, -123.15020423004748
Pedestrian Actuated Signal;"{""coordinates"": [-123.07799594222399, 49.25117814496461], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25117814496461, -123.07799594222399
Fixed Time;"{""coordinates"": [-123.15292755466109, 49.26382856961286], ""type"": ""Point""}";Kitsilano;49.26382856961286, -123.15292755466109
Fixed Time;"{""coordinates"": [-123.06949406561404, 49.27664870696252], ""type"": ""Point""}";Grandview-Woodland;49.27664870696252, -123.06949406561404
Fully Actuated;"{""coordinates"": [-123.05660107778434, 49.26214932532876], ""type"": ""Point""}";Kensington-Cedar Cottage;49.26214932532876, -123.05660107778434
Pedestrian Actuated Signal;"{""coordinates"": [-123.09082142321961, 49.223574327053115], ""type"": ""Point""}";Sunset;49.223574327053115, -123.09082142321961
Pedestrian Actuated Signal;"{""coordinates"": [-123.05969934101618, 49.28480845507036], ""type"": ""Point""}";Grandview-Woodland;49.28480845507036, -123.05969934101618
Pedestrian Actuated Signal;"{""coordinates"": [-123.12941463964326, 49.28979598880402], ""type"": ""Point""}";Downtown;49.28979598880402, -123.12941463964326
Pedestrian Actuated Signal;"{""coordinates"": [-123.17591053344933, 49.26420491205129], ""type"": ""Point""}";Kitsilano;49.26420491205129, -123.17591053344933
Fixed Time;"{""coordinates"": [-123.10095954934879, 49.26291345548014], ""type"": ""Point""}";Mount Pleasant;49.26291345548014, -123.10095954934879
Fixed Time;"{""coordinates"": [-123.11939490898949, 49.28555399477821], ""type"": ""Point""}";Downtown;49.28555399477821, -123.11939490898949
Fully Actuated;"{""coordinates"": [-123.06553668759817, 49.232750619917056], ""type"": ""Point""}";Kensington-Cedar Cottage;49.232750619917056, -123.06553668759817
Fully Actuated;"{""coordinates"": [-123.07729137577883, 49.22529439730564], ""type"": ""Point""}";Sunset;49.22529439730564, -123.07729137577883
Pedestrian Actuated Signal;"{""coordinates"": [-123.06559713698293, 49.23035192896883], ""type"": ""Point""}";Victoria-Fraserview;49.23035192896883, -123.06559713698293
Pedestrian Actuated Signal;"{""coordinates"": [-123.08479528719994, 49.23281577202726], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23281577202726, -123.08479528719994
Fixed Time;"{""coordinates"": [-123.14180961146724, 49.28725362031049], ""type"": ""Point""}";West End;49.28725362031049, -123.14180961146724
Pedestrian Actuated Signal;"{""coordinates"": [-123.13945956258023, 49.23805707621226], ""type"": ""Point""}";Shaughnessy;49.23805707621226, -123.13945956258023
Fixed Time;"{""coordinates"": [-123.1280093040367, 49.28249193648444], ""type"": ""Point""}";West End;49.28249193648444, -123.1280093040367
Pedestrian Actuated Signal;"{""coordinates"": [-123.07979667331541, 49.232746939165715], ""type"": ""Point""}";Kensington-Cedar Cottage;49.232746939165715, -123.07979667331541
Semi Actuated;"{""coordinates"": [-123.11843674037748, 49.24108393682112], ""type"": ""Point""}";South Cambie;49.24108393682112, -123.11843674037748
Fully Actuated;"{""coordinates"": [-123.11649235311131, 49.22611399819482], ""type"": ""Point""}";Oakridge;49.22611399819482, -123.11649235311131
Fixed Time;"{""coordinates"": [-123.12216021386583, 49.27453512008016], ""type"": ""Point""}";Downtown;49.27453512008016, -123.12216021386583
Fixed Time;"{""coordinates"": [-123.14112526766456, 49.26081153678518], ""type"": ""Point""}";Fairview;49.26081153678518, -123.14112526766456
Semi Actuated;"{""coordinates"": [-123.03375516797905, 49.259365255267184], ""type"": ""Point""}";Renfrew-Collingwood;49.259365255267184, -123.03375516797905
Pedestrian Actuated Signal;"{""coordinates"": [-123.10498909784886, 49.24884586778858], ""type"": ""Point""}";Riley Park;49.24884586778858, -123.10498909784886
Fixed Time;"{""coordinates"": [-123.07735417615537, 49.269671846442826], ""type"": ""Point""}";Strathcona;49.269671846442826, -123.07735417615537
Semi Actuated;"{""coordinates"": [-123.11685438311736, 49.216938724656835], ""type"": ""Point""}";Marpole;49.216938724656835, -123.11685438311736
Pedestrian Actuated Signal;"{""coordinates"": [-123.08438196142812, 49.240262709361545], ""type"": ""Point""}";Kensington-Cedar Cottage;49.240262709361545, -123.08438196142812
Pedestrian Actuated Signal;"{""coordinates"": [-123.18184994453948, 49.26430130242748], ""type"": ""Point""}";Kitsilano;49.26430130242748, -123.18184994453948
Pedestrian Actuated Signal;"{""coordinates"": [-123.10463703920081, 49.269239486566065], ""type"": ""Point""}";Mount Pleasant;49.269239486566065, -123.10463703920081
Fixed Time;"{""coordinates"": [-123.13880231338757, 49.25705391921368], ""type"": ""Point""}";Fairview;49.25705391921368, -123.13880231338757
Fixed Time;"{""coordinates"": [-123.08916322791241, 49.25971659387551], ""type"": ""Point""}";Mount Pleasant;49.25971659387551, -123.08916322791241
Pedestrian Actuated Signal;"{""coordinates"": [-123.03382776843974, 49.24626434255311], ""type"": ""Point""}";Renfrew-Collingwood;49.24626434255311, -123.03382776843974
Pedestrian Actuated Signal;"{""coordinates"": [-123.12036974492658, 49.24907719221505], ""type"": ""Point""}";South Cambie;49.24907719221505, -123.12036974492658
Fixed Time;"{""coordinates"": [-123.13932246856898, 49.24186878762881], ""type"": ""Point""}";Shaughnessy;49.24186878762881, -123.13932246856898
Fixed Time;"{""coordinates"": [-123.0440765206978, 49.28112324828127], ""type"": ""Point""}";Hastings-Sunrise;49.28112324828127, -123.0440765206978
Pedestrian Actuated Signal;"{""coordinates"": [-123.06598671097713, 49.21617804365277], ""type"": ""Point""}";Victoria-Fraserview;49.21617804365277, -123.06598671097713
Fixed Time;"{""coordinates"": [-123.12179061582859, 49.28263444942489], ""type"": ""Point""}";Downtown;49.28263444942489, -123.12179061582859
Pedestrian Actuated Signal;"{""coordinates"": [-123.09339176230415, 49.282170159829136], ""type"": ""Point""}";Strathcona;49.282170159829136, -123.09339176230415
Fixed Time;"{""coordinates"": [-123.12975512271576, 49.27736555126886], ""type"": ""Point""}";Downtown;49.27736555126886, -123.12975512271576
Pedestrian Actuated Signal;"{""coordinates"": [-123.08715775128924, 49.28110210340107], ""type"": ""Point""}";Strathcona;49.28110210340107, -123.08715775128924
Pedestrian Actuated Signal;"{""coordinates"": [-123.13531665652033, 49.26751923093567], ""type"": ""Point""}";Fairview;49.26751923093567, -123.13531665652033
Semi Actuated;"{""coordinates"": [-123.05195576548084, 49.28114142765027], ""type"": ""Point""}";Hastings-Sunrise;49.28114142765027, -123.05195576548084
Pedestrian Actuated Signal;"{""coordinates"": [-123.10152033904664, 49.2284679200275], ""type"": ""Point""}";Sunset;49.2284679200275, -123.10152033904664
Semi Actuated;"{""coordinates"": [-123.09362852433219, 49.2766527471344], ""type"": ""Point""}";Strathcona;49.2766527471344, -123.09362852433219
Semi Actuated;"{""coordinates"": [-123.11295573066757, 49.22598488433354], ""type"": ""Point""}";Oakridge;49.22598488433354, -123.11295573066757
Pedestrian Actuated Signal;"{""coordinates"": [-123.05458152395938, 49.28114533544671], ""type"": ""Point""}";Hastings-Sunrise;49.28114533544671, -123.05458152395938
Fixed Time;"{""coordinates"": [-123.11641171154619, 49.283623984804805], ""type"": ""Point""}";Downtown;49.283623984804805, -123.11641171154619
