TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,CRIME_CATEGORY
Break and Enter Commercial,2020,2,17,6,15,6XX JERVIS ST,Central Business District,490844.2319,5459562.0903,Commercial
Break and Enter Commercial,2020,4,5,6,30,6XX JERVIS ST,Central Business District,490844.2319,5459562.0903,Commercial
Break and Enter Commercial,2020,4,5,19,30,6XX JERVIS ST,Central Business District,490844.2319,5459562.0903,Commercial
Break and Enter Commercial,2020,4,7,1,0,6XX JERVIS ST,Central Business District,490844.2319,5459562.0903,Commercial
Break and Enter Commercial,2020,4,20,8,10,6XX MAIN ST,Central Business District,492740.5924,5458503.7612,Commercial
Break and Enter Commercial,2020,4,12,5,49,6XX MAIN ST,Central Business District,492740.8042,5458512.0501,Commercial
Break and Enter Commercial,2020,11,14,11,9,6XX MALKIN AVE,Strathcona,493230.3125,5458098.3719,Commercial
Break and Enter Commercial,2020,11,8,14,6,6XX MILLBANK ST,Fairview,491318.7183,5457207.7753,Commercial
Break and Enter Commercial,2020,5,29,0,0,6XX MOBERLY RD,Fairview,491330.713,5457111.0631,Commercial
Break and Enter Commercial,2020,4,11,20,57,6XX MOBERLY RD,Fairview,491418.2667,5457321.9423,Commercial
Break and Enter Commercial,2020,10,10,2,27,8XX E HASTINGS ST,Strathcona,493711.8794,5458701.6452,Commercial
Break and Enter Commercial,2020,2,26,5,0,8XX E HASTINGS ST,Strathcona,493713.3534,5458701.5972,Commercial
Break and Enter Commercial,2020,10,17,21,0,8XX E HASTINGS ST,Strathcona,493784.4676,5458699.2825,Commercial
Break and Enter Commercial,2020,3,1,16,37,8XX E PENDER ST,Strathcona,493686.1485,5458607.5825,Commercial
Break and Enter Commercial,2020,4,13,22,45,8XX E PENDER ST,Strathcona,493686.1485,5458607.5825,Commercial
Break and Enter Commercial,2020,3,25,5,5,8XX EVANS AVE,Strathcona,493776.5799,5457636.5677,Commercial
Break and Enter Commercial,2020,11,14,3,52,8XX EVANS AVE,Strathcona,493776.5799,5457636.5677,Commercial
Break and Enter Commercial,2020,4,8,13,35,8XX EVANS AVE,Strathcona,493795.7505,5457631.6952,Commercial
Break and Enter Commercial,2020,2,8,10,0,8XX GILFORD ST,West End,490025.8325,5459961.3942,Commercial
Break and Enter Commercial,2020,4,17,2,30,8XX GRANVILLE ST,Central Business District,491179.9241,5458628.6107,Commercial
Break and Enter Commercial,2020,4,7,8,6,8XX GRANVILLE ST,Central Business District,491190.4804,5458639.2455,Commercial
Break and Enter Commercial,2020,10,16,6,27,8XX GRANVILLE ST,Central Business District,491211.5929,5458660.5151,Commercial
Break and Enter Commercial,2020,4,2,11,3,8XX GRANVILLE ST,Central Business District,491219.882,5458681.8456,Commercial
Break and Enter Commercial,2020,4,21,6,42,8XX GRANVILLE ST,Central Business District,491219.882,5458681.8456,Commercial
Break and Enter Commercial,2020,7,20,6,31,8XX GRANVILLE ST,Central Business District,491219.882,5458681.8456,Commercial
Break and Enter Commercial,2020,7,22,20,0,8XX GRANVILLE ST,Central Business District,491220.038,5458669.0229,Commercial
Break and Enter Commercial,2020,5,31,7,12,8XX GRANVILLE ST,Central Business District,491223.9322,5458672.9457,Commercial
Break and Enter Commercial,2020,10,21,1,20,8XX GRANVILLE ST,Central Business District,491228.483,5458677.5308,Commercial
Break and Enter Commercial,2020,7,22,5,42,8XX GRANVILLE ST,Central Business District,491248.1882,5458697.3821,Commercial
Break and Enter Commercial,2020,11,19,6,30,8XX GRANVILLE ST,Central Business District,491251.7069,5458700.9274,Commercial
Break and Enter Commercial,2020,7,30,22,0,8XX GRANVILLE ST,Central Business District,491253.6622,5458715.877,Commercial
Break and Enter Commercial,2020,11,4,23,0,8XX GRANVILLE ST,Central Business District,491255.7734,5458718.004,Commercial
Break and Enter Commercial,2020,12,9,10,10,8XX GRANVILLE ST,Central Business District,491266.4857,5458715.8161,Commercial
Break and Enter Commercial,2020,7,3,0,26,8XX GREAT NORTHERN WAY,Strathcona,493813.9139,5457025.8179,Commercial
Break and Enter Commercial,2020,10,25,12,47,8XX HAMILTON ST,Central Business District,491470.4421,5458367.7823,Commercial
Break and Enter Commercial,2020,10,6,5,50,8XX HAMILTON ST,Central Business District,491488.6423,5458386.5968,Commercial
Break and Enter Commercial,2020,10,31,3,0,8XX HAMILTON ST,Central Business District,491488.6423,5458386.5968,Commercial
Break and Enter Commercial,2020,12,25,19,6,8XX HAMILTON ST,Central Business District,491524.3902,5458410.4003,Commercial
Break and Enter Commercial,2020,12,12,8,56,8XX HELMCKEN ST,Central Business District,490856.1761,5458475.0793,Commercial
Break and Enter Commercial,2020,3,22,8,0,8XX HOMER ST,Central Business District,491402.3801,5458427.1507,Commercial
Break and Enter Commercial,2020,11,6,5,0,8XX HOMER ST,Central Business District,491402.3801,5458427.1507,Commercial
Break and Enter Commercial,2020,12,14,2,15,8XX HOMER ST,Central Business District,491402.3801,5458427.1507,Commercial
Break and Enter Commercial,2020,8,13,0,0,8XX HOMER ST,Central Business District,491404.1965,5458428.9804,Commercial
Break and Enter Commercial,2020,9,6,3,20,8XX HOMER ST,Central Business District,491404.1965,5458428.9804,Commercial
Break and Enter Commercial,2020,10,14,9,50,8XX HOMER ST,Central Business District,491404.1965,5458428.9804,Commercial
Break and Enter Commercial,2020,12,19,17,0,8XX HOMER ST,Central Business District,491404.1965,5458428.9804,Commercial
Break and Enter Commercial,2020,10,19,10,20,8XX HOMER ST,Central Business District,491433.0262,5458458.0175,Commercial
Break and Enter Commercial,2020,10,9,17,15,8XX HOMER ST,Central Business District,491437.7304,5458462.7554,Commercial
Break and Enter Commercial,2020,9,11,9,56,8XX HOMER ST,Central Business District,491450.1043,5458488.1964,Commercial
Break and Enter Commercial,2020,3,23,0,0,8XX HOMER ST,Central Business District,491473.3602,5458498.6413,Commercial
Break and Enter Commercial,2020,5,3,23,0,8XX HOWE ST,Central Business District,491178.9654,5458775.863,Commercial
Break and Enter Commercial,2020,2,10,10,27,8XX JERVIS ST,West End,490610.6809,5459319.0407,Commercial
Break and Enter Commercial,2020,2,18,4,30,8XX JERVIS ST,West End,490610.6809,5459319.0407,Commercial
Break and Enter Commercial,2020,4,9,2,0,8XX KINGSWAY AVE,Kensington-Cedar Cottage,493749.3434,5455786.9957,Commercial
Break and Enter Commercial,2020,9,17,8,25,8XX KINGSWAY AVE,Kensington-Cedar Cottage,493749.7407,5455797.9997,Commercial
Break and Enter Commercial,2020,11,7,5,52,8XX PACIFIC ST,Central Business District,490448.6475,5458166.9152,Commercial
Break and Enter Commercial,2020,3,1,18,0,8XX PACIFIC ST,Central Business District,490453.6565,5458174.7755,Commercial
Break and Enter Commercial,2020,10,25,1,28,8XX PACIFIC ST,Central Business District,490453.6565,5458174.7755,Commercial
Break and Enter Commercial,2020,2,25,2,26,8XX POWELL ST,Strathcona,493684.2668,5458918.6112,Commercial
Break and Enter Commercial,2020,5,13,12,15,8XX POWELL ST,Strathcona,493698.597,5458908.7366,Commercial
